id,productName,quantity,isDelivered
1,Cookies - Englishbay Chochip,19,true
2,Cheese - Montery Jack,10,false
3,Rolled Oats,72,false
4,Molasses - Fancy,14,false
5,Lettuce - Baby Salad Greens,58,true
6,Cut Wakame - Hanawakaba,4,false
7,Nescafe - Frothy French Vanilla,46,false
8,Veal - Kidney,92,true
9,"Brandy - Orange, Mc Guiness",23,false
10,Red Cod Fillets - 225g,90,false
11,Apples - Sliced / Wedge,28,true
12,Sobe - Orange Carrot,7,false
13,Compound - Raspberry,63,false
14,Bread - Olive,67,true
15,Sauce - Demi Glace,68,false
16,"Juice - Orange, 341 Ml",29,false
17,Chicken - Soup Base,31,true
18,Bar - Granola Trail Mix Fruit Nut,93,true
19,Sage - Ground,51,true
20,Flower - Dish Garden,94,true
21,"Pasta - Fusili, Dry",80,true
22,Broom And Broom Rack White,59,false
23,Juice - Orange,74,true
24,"Artichoke - Hearts, Canned",51,true
25,Ham Black Forest,56,false
26,Wine - Ruffino Chianti Classico,91,false
27,"Chicken - Leg, Fresh",26,false
28,Shrimp - Black Tiger 16/20,84,true
29,Veal - Heart,5,true
30,Bread - Mini Hamburger Bun,1,true
31,Mackerel Whole Fresh,9,true
32,Lotus Leaves,92,true
33,Cinnamon Buns Sticky,70,false
34,Haggis,94,true
35,Calaloo,16,false
36,"Vermacelli - Sprinkles, Assorted",59,false
37,Parsley - Fresh,74,false
38,Bread - French Baquette,46,false
39,Garlic - Elephant,3,false
40,Sansho Powder,59,true
41,"Pork - Bacon,back Peameal",43,true
42,Tea - Black Currant,25,true
43,Tofu - Soft,100,true
44,Coffee - Decaffeinato Coffee,13,true
45,Pastrami,52,true
46,Tuna - Sushi Grade,42,true
47,Scallops - U - 10,3,false
48,Cheese - Victor Et Berthold,41,false
49,"Ice - Clear, 300 Lb For Carving",41,true
50,Soup - Base Broth Beef,43,false
51,Raspberries - Frozen,57,true
52,Bar Mix - Lemon,37,true
53,Island Oasis - Strawberry,94,false
54,Lettuce - Baby Salad Greens,49,true
55,Wine - Ruffino Chianti Classico,33,true
56,Cinnamon - Stick,85,false
57,Bread - Hot Dog Buns,44,true
58,Sausage - Andouille,87,true
59,Heavy Duty Dust Pan,7,true
60,"Veal - Shank, Pieces",99,true
61,Puff Pastry - Sheets,91,false
62,Food Colouring - Blue,25,true
63,Cumin - Whole,98,false
64,Wine - Dubouef Macon - Villages,16,false
65,Rabbit - Legs,91,false
66,Energy Drink Red Bull,33,false
67,Wine - Zonnebloem Pinotage,74,false
68,Nantucket - 518ml,11,false
69,Garlic Powder,49,true
70,Brandy Cherry - Mcguinness,73,true
71,Carbonated Water - Wildberry,40,false
72,Irish Cream - Baileys,53,false
73,Wine - Niagara Peninsula Vqa,43,true
74,Tofu - Firm,36,true
75,"Shrimp - 16/20, Peeled Deviened",6,false
76,Gatorade - Xfactor Berry,70,false
77,Pepper Squash,33,false
78,"Turkey - Breast, Smoked",80,true
79,Appetizer - Escargot Puff,84,false
80,Plaintain,12,false
81,Parasol Pick Stir Stick,99,true
82,Coffee Guatemala Dark,51,true
83,Tomatoes - Orange,15,false
84,Cabbage - Green,73,true
